"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "XML", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\material.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\opennew.css", "CSS", 0, 0, 0, 0, 0, 0, 198, 0, 0, 6, 44, 248
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 5, 22
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\theme.module.ts", "TypeScript", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 7, 127
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\app.component.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 7, 41
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\app.module.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 2, 4, 51
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\auth\ValidatePasswordConfirmation.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\auth\auth-guard.service.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 14, 66
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\auth\auth-routing.module.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\auth\auth.interceptor.ts", "TypeScript", 0, 0, 0, 119, 0, 0, 0, 0, 0, 52, 20, 191
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\auth\auth.module.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\auth\auth.service.ts", "TypeScript", 0, 0, 0, 154, 0, 0, 0, 0, 0, 37, 32, 223
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\auth\login\duplicatelogin.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
